lat,lon,depth,strike,dip
-30.0,-72.55000000000001,8.067182,4.4639115,5.5805264
-30.0,-72.5,8.557573,4.545543,6.103478
-30.0,-72.44999999999999,9.093537,4.6365714,6.65837
-30.0,-72.39999999999998,9.677907,4.734611,7.2464743
-30.0,-72.35000000000002,10.313674,4.837409,7.8696146
-30.0,-72.30000000000001,11.004045,4.942847,8.530027
-30.0,-72.25,11.752471,5.0489707,9.230151
-30.0,-72.19999999999999,12.562671,5.154038,9.97234
-30.0,-72.14999999999998,13.43862,5.25657,10.758528
-30.0,-72.10000000000002,14.384514,5.355401,11.5898485
-30.0,-72.05000000000001,15.404696,5.4497123,12.466243
-30.0,-72.0,16.503557,5.5390396,13.386087
-30.0,-71.94999999999999,17.685389,5.62326,14.345884
-30.0,-71.89999999999998,18.954226,5.702554,15.340042
-30.0,-71.85000000000002,20.313646,5.7773523,16.360779
-30.0,-71.80000000000001,21.766567,5.8482676,17.39818
-30.0,-71.75,23.315037,5.91603,18.440409
-30.0,-71.69999999999999,24.96003,5.98143,19.474054
-30.0,-71.64999999999998,26.70127,6.0452657,20.484612
-30.0,-71.60000000000002,28.537077,6.1083145,21.457033
-30.0,-71.55000000000001,30.464262,6.1713123,22.37631
-30.0,-71.5,32.47808,6.234954,23.228037
-30.0,-71.44999999999999,34.57223,6.2999034,23.998924
-30.0,-71.39999999999998,36.738922,6.3668246,24.677202
-30.0,-71.35000000000002,38.96898,6.4364157,25.25293
-30.0,-71.30000000000001,41.252052,6.5094585,25.718195
-30.0,-71.25,43.576794,6.5868797,26.0672
-30.0,-71.19999999999999,45.93114,6.669816,26.296272
-30.0,-71.14999999999998,48.302578,6.7596903,26.403801
-30.0,-71.10000000000002,50.6784,6.858296,26.390127
-30.0,-71.05000000000001,53.046017,6.9678845,26.257397
-30.0,-71.0,55.393177,7.091263,26.009394
-30.0,-70.94999999999999,57.70823,7.231886,25.651358
-30.0,-70.89999999999998,59.980278,7.3939576,25.189798
-30.0,-70.85000000000002,62.199364,7.582521,24.632292
-30.0,-70.80000000000001,64.35657,7.803546,23.987291
-30.0,-70.75,66.44407,8.064005,23.26393
-30.0,-70.69999999999999,68.45519,8.371937,22.471834
-30.0,-70.64999999999998,70.38439,8.736491,21.620941
-30.0,-70.60000000000002,72.227234,9.167958,20.721344
-30.0,-70.55000000000001,73.980316,9.6777725,19.783133
-30.0,-70.5,75.64126,10.278498,18.816286
-30.0,-70.44999999999999,77.20857,10.983784,17.83055
-30.0,-70.39999999999998,78.6816,11.808295,16.835352
-30.0,-70.35000000000002,80.060455,12.767606,15.839717
-30.0,-70.30000000000001,81.345894,13.878052,14.852197
-30.0,-70.25,82.5393,15.156534,13.880781
-30.0,-70.19999999999999,83.64255,16.620268,12.93283
-30.0,-70.14999999999998,84.65798,18.286463,12.014977
-30.0,-70.10000000000002,85.58832,20.171944,11.13305
-30.0,-70.05000000000001,86.436584,22.292746,10.291979
-30.0,-70.0,87.20606,24.663666,9.495723
-30.0,-69.94999999999999,87.9002,27.297897,8.747223
-30.0,-69.89999999999998,88.52258,30.206772,8.048382
-30.0,-69.85000000000002,89.076836,33.399685,7.4000974
-30.0,-69.80000000000001,89.56661,36.884293,6.802345
-30.0,-69.75,89.9955,40.666973,6.2543173
-30.0,-69.69999999999999,90.36702,44.753445,5.7546124
-30.0,-69.64999999999998,90.68458,49.149242,5.3014636
-30.0,-69.60000000000002,90.95143,53.859707,4.892979
-30.0,-69.55000000000001,91.17071,58.88886,4.527361
-30.0,-69.5,91.34537,64.23665,4.203068
-30.0,-69.44999999999999,91.478264,69.8943,3.9188733
-30.0,-69.39999999999998,91.57211,75.83789,3.6737943
-30.0,-69.35000000000002,91.629524,82.02142,3.4668784
-30.0,-69.30000000000001,91.653076,88.37162,3.296868
